ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Taxonomy
ASV1523	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora tritici-repentis	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pyrenophora;s__Pyrenophora tritici-repentis
ASV1525	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Undetermined	Undetermined	Family	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Undetermined;s__Undetermined
ASV1526	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus Undetermined	Species	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glomus Undetermined
ASV1527	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Undetermined;s__Undetermined
ASV1528	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Undetermined;g__Undetermined;s__Undetermined
ASV1530	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus claroideum	Species	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__Claroideoglomus claroideum
ASV1531	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Murispora	Murispora hawksworthii	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Amniculicolaceae;g__Murispora;s__Murispora hawksworthii
ASV1532	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Endogone	Endogone Undetermined	Species	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Endogonales;f__Endogonaceae;g__Endogone;s__Endogone Undetermined
ASV1533	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella antarctica	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella antarctica
ASV1536	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Undetermined;g__Undetermined;s__Undetermined
ASV1537	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Basidiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1538	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Undetermined;s__Undetermined
ASV1539	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Chytridiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1540	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1543	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Undetermined;g__Undetermined;s__Undetermined
ASV1544	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Kuehneromyces	Kuehneromyces mutabilis	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Kuehneromyces;s__Kuehneromyces mutabilis
ASV1545	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Ascomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1546	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Undetermined;s__Undetermined
ASV1547	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis brunneofibrillosa	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis brunneofibrillosa
ASV1549	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora trappei	Species	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__Archaeospora trappei
ASV1550	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_Incertae_sedis	Resinicium	Resinicium bicolor	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetales_fam_Incertae_sedis;g__Resinicium;s__Resinicium bicolor
ASV1552	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola verrucosa	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola verrucosa
ASV1553	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Arxiella	Arxiella dolichandrae	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Arxiella;s__Arxiella dolichandrae
ASV1554	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia Undetermined	Species	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__Dominikia Undetermined
ASV1555	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium persicinum	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium persicinum
ASV1556	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera Undetermined	Species	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Cyberlindnera;s__Cyberlindnera Undetermined
ASV1557	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined	Family	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Undetermined;s__Undetermined
ASV1558	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1559	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined	Family	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Undetermined;s__Undetermined
ASV1560	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium glutinans	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium glutinans
ASV1561	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Microscypha	Microscypha Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Microscypha;s__Microscypha Undetermined
ASV1562	Fungi	Ascomycota	Dothideomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1563	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium proliferatum	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium proliferatum
ASV1564	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Athallia	Athallia Undetermined	Species	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;g__Athallia;s__Athallia Undetermined
ASV1566	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus ostreatus	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__Pleurotus;s__Pleurotus ostreatus
ASV1567	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon detriticus	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Xylodon;s__Xylodon detriticus
ASV1568	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Undetermined;g__Undetermined;s__Undetermined
ASV1569	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Undetermined;g__Undetermined;s__Undetermined
ASV1570	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus Undetermined	Species	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glomus Undetermined
ASV1571	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Undetermined	Undetermined	Family	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Undetermined;s__Undetermined
ASV1572	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Basidiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1574	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium solani
