ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Taxonomy
ASV1	Fungi	Ascomycota	Lecanoromycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola minima	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola minima
ASV3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella elongata
ASV4	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Undetermined;g__Undetermined;s__Undetermined
ASV5	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Undetermined;g__Undetermined;s__Undetermined
ASV6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola Undetermined
ASV7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Undetermined;s__Undetermined
ASV8	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__Tetracladium Undetermined
ASV9	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Undetermined;g__Undetermined;s__Undetermined
ASV10	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Basidiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV11	Fungi	Ascomycota	Sordariomycetes	Xylariales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Undetermined;g__Undetermined;s__Undetermined
ASV12	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella elongata
ASV13	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora fennica	Species	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora fennica
ASV14	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV16	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Undetermined;s__Undetermined
ASV17	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV19	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella albidolutea	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella albidolutea
ASV20	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella Undetermined
ASV21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV22	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Undetermined;s__Undetermined
ASV23	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	Zopfiella marina	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Zopfiella;s__Zopfiella marina
ASV24	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Undetermined;g__Undetermined;s__Undetermined
ASV25	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Neobulgaria	Neobulgaria Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria;s__Neobulgaria Undetermined
ASV26	Fungi	Ascomycota	Sordariomycetes	Xylariales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Undetermined;g__Undetermined;s__Undetermined
ASV27	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella albidolutea	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella albidolutea
ASV28	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria mors-panacis	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__Ilyonectria mors-panacis
ASV29	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV30	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella minutissima	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella minutissima
ASV31	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__Tetracladium Undetermined
ASV32	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Undetermined;s__Undetermined
ASV33	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Rhexocercosporidium	Rhexocercosporidium panacis	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium;s__Rhexocercosporidium panacis
ASV34	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella tassiana	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella tassiana
ASV35	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella minutissima	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella minutissima
ASV36	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium marchalianum	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__Tetracladium marchalianum
ASV37	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Undetermined	Undetermined	Family	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Undetermined;s__Undetermined
ASV38	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola minima	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola minima
ASV39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Laburnicola	Laburnicola muriformis	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Laburnicola;s__Laburnicola muriformis
ASV40	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Undetermined;g__Undetermined;s__Undetermined
ASV41	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella alpina
ASV42	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma aeria	Species	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma aeria
ASV43	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea epsilon	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Darksidea;s__Darksidea epsilon
ASV44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Massariosphaeria	Massariosphaeria Undetermined	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Massariosphaeria;s__Massariosphaeria Undetermined
ASV45	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Undetermined;g__Undetermined;s__Undetermined
ASV46	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium bakeri	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium;s__Pseudeurotium bakeri
ASV47	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Undetermined;g__Undetermined;s__Undetermined
ASV48	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila	Species	k__Fungi;p__Calcarisporiellomycota;c__Calcarisporiellomycetes;o__Calcarisporiellales;f__Calcarisporiellaceae;g__Calcarisporiella;s__Calcarisporiella thermophila
ASV49	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sarnyensis	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella sarnyensis
ASV50	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Rhexocercosporidium	Rhexocercosporidium Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium;s__Rhexocercosporidium Undetermined
ASV51	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Undetermined;g__Undetermined;s__Undetermined
ASV52	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Phialemoniopsis	Phialemoniopsis curvata	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Phialemoniopsis;s__Phialemoniopsis curvata
ASV53	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe perlata	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe perlata
ASV54	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Undetermined;s__Undetermined
ASV55	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces Undetermined	Species	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces Undetermined
ASV56	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Undetermined;g__Undetermined;s__Undetermined
ASV57	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	Clitopilus Undetermined	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__Clitopilus Undetermined
ASV58	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV59	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Ascomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV60	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium delicatulum	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium delicatulum
ASV61	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Basidiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV62	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV64	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Basidiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV65	Fungi	Ascomycota	Lecanoromycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV66	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Rhexocercosporidium	Rhexocercosporidium panacis	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium;s__Rhexocercosporidium panacis
ASV67	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Neobulgaria	Neobulgaria Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria;s__Neobulgaria Undetermined
ASV68	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella albidolutea	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella albidolutea
ASV69	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Laburnicola	Laburnicola muriformis	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Laburnicola;s__Laburnicola muriformis
ASV71	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium trichocladiopsis	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Microdochiaceae;g__Microdochium;s__Microdochium trichocladiopsis
ASV73	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella exigua	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella exigua
ASV74	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	Clitopilus Undetermined	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__Clitopilus Undetermined
ASV75	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV76	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	Minimedusa polyspora	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Minimedusa;s__Minimedusa polyspora
ASV77	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV78	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Undetermined	Undetermined	Family	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Undetermined;s__Undetermined
ASV79	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Massariosphaeria	Massariosphaeria Undetermined	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Massariosphaeria;s__Massariosphaeria Undetermined
ASV80	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Undetermined	Undetermined	Family	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Undetermined;s__Undetermined
ASV81	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora Undetermined	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora Undetermined
ASV82	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Undetermined	Undetermined	Family	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Undetermined;s__Undetermined
ASV83	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Ascomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV84	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terricola	Species	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma terricola
ASV85	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella alpina
ASV86	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Undetermined;s__Undetermined
ASV87	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Naucoria	Naucoria salicis	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Naucoria;s__Naucoria salicis
ASV88	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV89	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe ingridiae	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe;s__Conocybe ingridiae
ASV90	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV91	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium Undetermined	Species	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiaceae;g__Rhizophydium;s__Rhizophydium Undetermined
ASV92	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Basidiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV93	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella minutissima	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella minutissima
ASV94	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Corticium	Corticium Undetermined	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Corticium;s__Corticium Undetermined
ASV95	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Ascomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV96	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium Undetermined	Species	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiaceae;g__Rhizophydium;s__Rhizophydium Undetermined
ASV98	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora Undetermined	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora Undetermined
ASV99	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe fuscimarginata	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe;s__Conocybe fuscimarginata
ASV101	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella Undetermined	Species	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella;s__Ophiosphaerella Undetermined
ASV102	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV103	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__Claroideoglomus drummondii
ASV104	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV105	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora fennica	Species	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora fennica
ASV106	Fungi	Ascomycota	Sordariomycetes	Sordariales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Undetermined;g__Undetermined;s__Undetermined
ASV107	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella clonocystis	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella clonocystis
ASV108	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium hygrophilum	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium;s__Pseudeurotium hygrophilum
ASV109	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Undetermined;s__Undetermined
ASV110	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium marchalianum	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__Tetracladium marchalianum
ASV111	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Undetermined;g__Undetermined;s__Undetermined
ASV112	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia fristingensis	Species	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia fristingensis
