Sample_Name	Depth	Fertilizer	AveDepth	CoarseFraction	bulk_density	Moisture 	TN	TC	C_density	N_density	DepthIncrement-cm	C_stock	N_stock	pH	EC	texture_clay	texture_silt	texture_sand	texture_sum
522-40	30-40	NPK	35	0	1.28	24.22	0.14	1.03	13.2	1.7	10	1.32	0.17	7.3	41.8	44.5	42.9	15.7	103.1
522-50	40-50	NPK	40	0	1.51	23.33	0.12	0.9	13.6	1.8	10	1.36	0.18	7.3	48.2	42.1	46.9	14.4	103.4
522-70	50-70	NPK	60	0	1.44	22.72	0.1	0.76	11	1.4	20	2.2	0.29	7.4	38.5	45.3	44.4	12.8	102.6
522-100	70-100	NPK	85	0	1.25	30.44	0.09	0.58	7.3	1.1	30	2.19	0.32	7.2	77	45.9	40.5	11.9	98.3
523-30	0-30	NPK	15	0.008	1.25	26.27	0.15	1.3	16.1	1.8	30	4.84	0.55	7.4	64.4	40.8	40.3	17	98
523-40	30-40	NPK	35	0.001	1.31	24.77	0.13	1	13.1	1.7	10	1.31	0.17	7.3	47.1	43.6	45.1	11.2	100
523-50	40-50	NPK	40	0	1.26	25.27	0.12	0.9	11.4	1.5	10	1.14	0.15	7.5	37.1	44.6	43.1	17.3	104.9
523-70	50-70	NPK	60	0	1.32	27.77	0.1	0.77	10.2	1.3	20	2.04	0.26	7.7	34.7	47.6	39.1	18.4	105
523-100	70-100	NPK	85	0	1.17	28.18	0.08	0.6	7.1	1	30	2.12	0.29	7.6	53.4	46.8	39.4	16.1	102.3
524-30	0-30	NPK	15	0.001	1.23	24.77	0.15	1.28	15.8	1.8	30	4.73	0.53	7.3	62.5	43.5	41.5	15.7	100.8
524-40	30-40	NPK	35	0	1.22	25.16	0.14	1.25	15.2	1.7	10	1.52	0.17	7.4	47.7	44.5	42.6	14.2	101.2
524-50	40-50	NPK	40	0	1.5	24.59	0.13	0.96	14.3	1.9	10	1.43	0.19	7.2	32.4	46.5	41.3	15.9	103.7
524-70	50-70	NPK	60	0	1.48	23.56	0.09	0.74	11	1.4	20	2.19	0.28	7.3	35.3	45.1	41	14.7	100.8
524-100	70-100	NPK	85	0	1.47	22.84	0.06	0.42	6.2	0.9	30	1.85	0.27	7.3	50	45.8	37.7	21.1	104.6
