	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Guild
ASV733	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV734	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV736	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium macerans	Species	Saprotroph
ASV740	Fungi	Ascomycota	Sordariomycetes	Microascales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV741	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV742	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
ASV743	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV744	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Murispora	Murispora hawksworthii	Species	Saprotroph
ASV746	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV747	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV748	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella Undetermined	Species	Saprotroph
ASV749	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	Byssochlamys Undetermined	Species	Saprotroph
ASV750	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV751	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
ASV753	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma heimaeyensis	Species	Saprotroph
ASV754	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Helgardia	Helgardia anguioides	Species	Pathotroph
ASV756	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora fennica	Species	Arbuscular Mycorrhizal
ASV757	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella beljakovae	Species	Saprotroph
ASV758	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV759	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Caloplaca	Caloplaca duplicata	Species	NA
ASV760	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV761	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
